facility_id,facility_name,country,country_name,city,operational_status,year_operational,facility_type,services_offered,govt_data_hosted,operator_name,ownership_type,ownership_structure_type,ownership chain,major shareholders,government_ownership_pct,foreign_ownership_pct,controlling_entities,control_mechanisms,recent_investments,dfi_involvement,investment_usd,expansion_plans,key_tenants,hyperscaler_relationships,Microsoft,AWS,Google,cloud_act_exposure,chinese_entities,foreign_dependency_score,open_source_stack,parent_hq_country,ultimate_parent_hq_country,chinese_involvement,parent_company,ultimate_parent_company,sovereignty_category,data_residency_guarantee,local_dp_compliance,total_floor_space_sqm,rack_capacity,it_capacity_mw,submarine_cable_access,ixp_presence,carrier_neutrality,gpu_ai_capability,server_vendors,cloud_platform,security_certifications,gps_coordinates,comments,source_urls
KEN-012,ICTA Government Data Centre 1 (Nairobi Primary),KEN,Kenya,Nairobi,Operational,2016,Government,Government IT hosting; eGovernment services; Shared services for Ministries; County connectivity,Designated national / government data centre,ICT Authority (ICTA),Government / SOE,Majority state-owned public company (GOE),Government of Kenya,"Government of Kenya (70%), public investors (30%), ICM Investment Management (1.8%)",70%,~2% (minor institutional foreign investors),Government of Kenya,Equity,,None identified,,Actiive (under construction),Kenya govt ministries; county governments,Hosting $1B Microsoft Azure East Africa Cloud Region with G42 (planned operational ~2026),Yes,,,No (fully domestic ownership and stack),,"Low (domestic ownership, open source stack, local compliance)",Unknown,KEN,Kenya,None,Government of Kenya,Government of Kenya,African with hyperscaler involvement,"Yes, contractual guarantee",Certified / audited compliant,,,,Landlocked/no submarine cable access,No IXP connection,Single carrier / captive,No evidence,Unknown,Unknown,Unknown,"-1.2833, 36.8172","ICTA mandated government DC; two major Nairobi DCs plus mini DCs in each county per ICTA mandate; provides shared govt IT services; location estimated near Teleposta Towers (ICTA HQ Kenyatta Ave); Tier and MW not publicly disclosed. GPS approximate. cloud_act_exposure=3 (all domestic).. [KenGen Announcement](https://www.kengen.co.ke/index.php/information-center/news-and-events/kengen-teams-up-with-microsoft-and-g42-for-$1b-cutting-edge-green-data-center-in-olkaria.html), [Kenyan Wallstreet](https://kenyanwallstreet.com/kengen-first-state-firm-comply-new-goe-law), [Wikipedia](https://en.wikipedia.org/wiki/Kenya_Electricity_Generating_Company), [MarketScreener](https://www.marketscreener.com/quote/stock/KENYA-ELECTRICITY-GENERAT-9295413/company-shareholders/)",https://icta.go.ke/page?q=204&type=projects; https://cms.icta.go.ke/sites/default/files/2022-05/Data%20Centre%20Standard.pdf; 
KEN-013,ICTA Government Data Centre 2 (Nairobi DR/Secondary),KEN,Kenya,Nairobi,Operational,2016,Government,Government IT hosting; Disaster recovery; Shared IT services,Designated national / government data centre,ICT Authority (ICTA),Government / SOE,Majority state-owned public company (GOE),Government of Kenya,"Government of Kenya (70%), public investors (30%), ICM Investment Management (1.8%)",70%,~2% (minor institutional foreign investors),Government of Kenya,Equity,,None identified,,Actiive (under construction),Kenya govt agencies,Hosting $1B Microsoft Azure East Africa Cloud Region with G42 (planned operational ~2026),Yes,,,No (fully domestic ownership and stack),,"Low (domestic ownership, open source stack, local compliance)",Unknown,KEN,Kenya,None,Government of Kenya,Government of Kenya,African with hyperscaler involvement,"Yes, contractual guarantee",Certified / audited compliant,,,,Landlocked/no submarine cable access,No IXP connection,Single carrier / captive,No evidence,Unknown,Unknown,Unknown,"-1.2850, 36.8200","ICTA second Nairobi DC (DR/backup function); ICTA states 'two major data centers in Nairobi'; exact location and specs not public. GPS approximate. cloud_act_exposure=3 (all domestic govt). Separate from Konza NDC.. [KenGen Announcement](https://www.kengen.co.ke/index.php/information-center/news-and-events/kengen-teams-up-with-microsoft-and-g42-for-$1b-cutting-edge-green-data-center-in-olkaria.html), [Kenyan Wallstreet](https://kenyanwallstreet.com/kengen-first-state-firm-comply-new-goe-law), [Wikipedia](https://en.wikipedia.org/wiki/Kenya_Electricity_Generating_Company), [MarketScreener](https://www.marketscreener.com/quote/stock/KENYA-ELECTRICITY-GENERAT-9295413/company-shareholders/)",https://icta.go.ke/page?q=204&type=projects; 
KEN-011,Konza National Data Centre (KoTDA),KEN,Kenya,Konza,Operational,2021,Government,Government cloud (SaaS; IaaS; PaaS); Colocation; Smart city services; eGovernment,Designated national / government data centre,Konza Technopolis Development Authority (KoTDA),Government / SOE,Majority state-owned public company (GOE),Government of Kenya,"Government of Kenya (70%), public investors (30%), ICM Investment Management (1.8%)",70%,~2% (minor institutional foreign investors),Government of Kenya,Equity,,None identified,,Actiive (under construction),Govt agencies; county governments; SMEs; eCitizen platform (23000+ services),Hosting $1B Microsoft Azure East Africa Cloud Region with G42 (planned operational ~2026),Yes,,,No (fully domestic ownership and stack),,Moderate (mixed ownership or stack),Predominantly proprietary ,KEN,Kenya,None,Government of Kenya,Government of Kenya,African with hyperscaler involvement,"Yes, contractual guarantee",Certified / audited compliant,,,,Landlocked/no submarine cable access,No IXP connection,Single carrier / captive,Planned,Huawei,Huawei Cloud Stack (private sovereign cloud),ISO 27001,"-1.6890, 37.1850","Built by Huawei with Chinese concessional loans (Ksh17.5B); containerized Phase 1 complete 2020; Tier III design Phase 2 complete 2021; supports 70+ city services; 120+ customers (75% govt); Huawei Cloud Stack. KSh3.1B budget 2025/26. Landlocked (4 hrs from coast); foreign_dependency_score=2 (Chinese tech stack but GOK owned). cloud_act_exposure=3 (Kenyan govt owned; no US hyperscalers).. [KenGen Announcement](https://www.kengen.co.ke/index.php/information-center/news-and-events/kengen-teams-up-with-microsoft-and-g42-for-$1b-cutting-edge-green-data-center-in-olkaria.html), [Kenyan Wallstreet](https://kenyanwallstreet.com/kengen-first-state-firm-comply-new-goe-law), [Wikipedia](https://en.wikipedia.org/wiki/Kenya_Electricity_Generating_Company), [MarketScreener](https://www.marketscreener.com/quote/stock/KENYA-ELECTRICITY-GENERAT-9295413/company-shareholders/)",https://konza.go.ke; https://www.huaweicloud.com/intl/en-us/cases/konzacloud.html; https://en.wikipedia.org/wiki/Konza_Technopolis; https://inafrika.co.tz/konza-technopolis-smart-city-push/; 
MWI-004,OFC/ESCOM Tier 3 Data Centre,MWI,Malawi,Blantyre,Operational,,Colocation/carrier-neutral,Colocation; cloud services; ISP backbone; fibre carrier services; enterprise hosting,Hosts government data alongside commercial,ESCOM Optical Fibre Communications (OFC),Government / SOE,State-owned enterprise (parastatal),Government of Malawi,"Government of Malawi (99%), Malawi Development Corporation (MDC) (1%)",99%,,Government of Malawi,Equity,,"Receives project funding/technical assistance from World Bank, AfDB (e.g., MEAP, ASCENT, MOMA). IFC mentioned in sector support but no direct equity/ownership in ESCOM.",,No plans,Telecoms operators; ISPs; enterprises; education,"None found. Job postings mention familiarity with AWS/Azure desired for data center roles, but no partnerships or usage confirmed.",Yes,Yes,,No (fully domestic ownership and stack),Huawei,"Low (domestic ownership, open source stack, local compliance)",Unknown,MWI,Malawi,Construction/Equipment,Electricity Supply Corporation of Malawi (ESCOM),Government of Malawi,African with hyperscaler involvement,"Yes, contractual guarantee",Self-declared compliant,,,,Landlocked/no submarine cable access,No IXP connection,Limited carriers,Unknown,Unknown,Unknown,Unknown,"-15.8026, 35.0197","OFC (ESCOM subsidiary) announced Tier 3 DC offering colocation and cloud services. Location Blantyre (separate from MWI-001). Year operational unknown. ESCOM is state-owned.. [ESCOM ISP27](https://www.escom.mw/wp-content/uploads/2024/01/Integrated-Strategic-Plan-ISP27_Final30_08_2023.pdf), [IDE Japan](https://www.ide.go.jp/English/Data/Africa_file/Company/malawi05.html), [ESCOM About](https://www.escom.mw/about-us/), [Wikipedia](https://en.wikipedia.org/wiki/Electricity_Supply_Corporation_of_Malawi), [Machine Learning Malawi on Data Centre](https://ml.mw/2022/09/07/the-national-data-center-blantyre-blog-post/)",https://www.escom.mw/ofc-hosts-macra-to-share-digital-services-vision/; 
MWI-001,Malawi National Data Center Blantyre,MWI,Malawi,Blantyre,Operational,2022,Government,Government hosting; IaaS; PaaS; colocation; disaster recovery; e-government services,Hosts government data alongside commercial,Malawi Ministry of Information and Digitalization / ESCOM,Government / SOE,State-owned,Government of Malawi,Government of Malawi (99-100%); Malawi Development Corporation (1% in ESCOM),100%,,Government of Malawi,Equity,,"Yes - World Bank funded Lilongwe Government Data Centre via Digital Malawi Project ([PPPC DIGMAP](https://digmap.pppc.mw/government-data-center-making-progress/)); no IFC, DFC, BII, AfDB direct involvement found",,No plans,Government MDAs; education sector; private sector,"Planning hybrid cloud integration with AWS, Azure, Google Cloud ([PPPC TOR](https://api.pppc.mw/storage/687/Cleared_DMAP_Revised_TORs_-_Data_Centre_Cloud_Architect_250625.pdf)); no operational direct relationships found",Yes,Yes,Yes,No (fully domestic ownership and stack),Huawei,Moderate (mixed ownership or stack),Unknown,MWI,Malawi,Construction/Equipment,Government of Malawi,Government of Malawi,African with hyperscaler involvement,"Yes, contractual guarantee",Self-declared compliant,,,,Landlocked/no submarine cable access,No IXP connection,Single carrier / captive,No evidence,Huawei,Unknown,Unknown,"-15.7864, 35.0058","59 Mandala Road Blantyre. Built by Huawei/ESCOM under National Fibre Backbone Project. Launched July 2022. Tier III certified. All Huawei equipment. Now designated secondary/backup DC. Primary DC is Lilongwe (MWI-002).. [ESCOM ISP27](https://www.escom.mw/wp-content/uploads/2024/01/Integrated-Strategic-Plan-ISP27_Final30_08_2023.pdf), [PPPC](https://digmap.pppc.mw/government-data-centre-project-completion-at-77/), [Datacentermap](https://www.datacentermap.com/malawi/blantyre/malawi-national-data-center/), [People.cn](https://en.people.cn/n3/2022/0723/c90000-10126559.html)",https://www.datacenterdynamics.com/en/news/malawi-launches-national-data-center/;https://www.datacentermap.com/malawi/blantyre/malawi-national-data-center/;https://ml.mw/2022/09/07/the-national-data-center-blantyre-blog-post/; 
MWI-002,Malawi Government Data Centre Lilongwe,MWI,Malawi,Lilongwe,Operational,2025,Government,Government hosting; IaaS; HCI cloud; data exchange platform Bomalathu; e-government; disaster recovery,Designated national / government data centre,Malawi Department of e-Government / PPPC,Government / SOE,State-owned,Government of Malawi,Government of Malawi (99-100%); Malawi Development Corporation (1% in ESCOM),100%,,Government of Malawi,Equity,,"Yes - World Bank funded Lilongwe Government Data Centre via Digital Malawi Project ([PPPC DIGMAP](https://digmap.pppc.mw/government-data-center-making-progress/)); no IFC, DFC, BII, AfDB direct involvement found",,Actiive (under construction),Government MDAs; ICT ministry,"Planning hybrid cloud integration with AWS, Azure, Google Cloud ([PPPC TOR](https://api.pppc.mw/storage/687/Cleared_DMAP_Revised_TORs_-_Data_Centre_Cloud_Architect_250625.pdf)); no operational direct relationships found",Yes,Yes,Yes,No (fully domestic ownership and stack),Huawei,Moderate (mixed ownership or stack),Unknown,MWI,Malawi,Construction/Equipment,Government of Malawi,Government of Malawi,African with hyperscaler involvement,"Yes, contractual guarantee",Self-declared compliant,,,,Landlocked/no submarine cable access,No IXP connection,Single carrier / captive,No evidence,Huawei,Unknown,Unknown,"-13.9626, 33.7741","Constructed under World Bank Digital Malawi Foundations Project. Primary govt DC; Blantyre (MWI-001) is backup. HCI (Hyper-Converged Infrastructure). Opened ~2025. Bomalathu data exchange platform deployed. Expansion ongoing under Digital Malawi Acceleration Project (USD 150M World Bank from Nov 2024).. [ESCOM ISP27](https://www.escom.mw/wp-content/uploads/2024/01/Integrated-Strategic-Plan-ISP27_Final30_08_2023.pdf), [PPPC](https://digmap.pppc.mw/government-data-centre-project-completion-at-77/), [Datacentermap](https://www.datacentermap.com/malawi/blantyre/malawi-national-data-center/), [People.cn](https://en.people.cn/n3/2022/0723/c90000-10126559.html)",https://digmap.pppc.mw/government-data-center-making-progress/;https://www.worldbank.org/en/results/2025/06/23/digitalizing-afe-malawi-to-improve-access-to-education-public-services-and-income-opportunities;https://www.pppc.mw/procurement/reports-notices/invitation-to-early-market-engagement-expansion-of-the-national-data-centre; 
SWZ-001,RSTP National Data Centre,SWZ,Eswatini,Matsapha,Operational,,Government,Colocation; IaaS; PaaS; SaaS; e-government hosting; web hosting; national payment gateway,Hosts government data alongside commercial,Royal Science and Technology Park (RSTP),Government / SOE,State-owned enterprise (SOE),Government of the Kingdom of Eswatini,100% owned by Government of Eswatini (state-owned enterprise),100%,,Government of the Kingdom of Eswatini,Equity,,None identified; IFC mentions RSTP as gov priority but no investment [IFC Report](https://www.ifc.org/content/dam/ifc/doc/mgrt/cpsd-eswatini.pdf),,No plans,Government MDAs; enterprises; SMEs,"None for infrastructure; training collaborations with AWS and exploratory Google Cloud talks at government level [Independent News](https://independentnews.co.sz/40779/news/diplomacy/eswatini-explores-green-energy-for-national-data-centre/), [Africa Press](https://www.africa-press.net/eswatini/all-news/amazon-web-services-equips-rstp-developers-with-skills)",,Yes,Yes,No (fully domestic ownership and stack),,"Low (domestic ownership, open source stack, local compliance)",Unknown,SWZ,Eswatini,None,Government of Eswatini,Government of the Kingdom of Eswatini,African with hyperscaler involvement,"Yes, contractual guarantee",No claim,,,,Landlocked/no submarine cable access,No IXP connection,Single carrier / captive,Unknown,Unknown,Unknown,Unknown,"-26.4825, 31.3654","RSTP Innovation Park Phocweni Matsapha M202. Self-declared Tier III 99.982% uptime. 24/7 surveillance biometric access. Hot DR site planned ~50km away. Primary govt DC for Eswatini. Year operational unknown.. [RSTP Data Centre](https://rstp.org.sz/national-data-centre/), [RSTP Home](https://rstp.org.sz), [Gov SOE Framework](https://www.gov.sz/images/FinanceDocuments/SOE-Restructuring-Framework-in-Eswatini.pdf), [Datacentermap RSTP](https://www.datacentermap.com/eswatini/mbabane/rstp-national-data-center/)",https://rstp.org.sz/national-data-centre/;https://rstp.org.sz/wp-content/uploads/2023/07/Data-Center.pdf;https://www.datacentermap.com/eswatini/mbabane/rstp-national-data-center/; 
ZAF-045,SITA National Data Centre (Centurion),ZAF,South Africa,Johannesburg (Centurion),Operational,1999,Government,Government cloud; e-Government services; public sector hosting,Designated national / government data centre,State Information Technology Agency (SITA),Government / SOE,Wholly state-owned Schedule 3A public entity,Government of the Republic of South Africa,South African Government (100%),100% (South African government),,Government of the Republic of South Africa,Equity,,None identified,,Actiive (under construction),All South African government departments; national e-services,"Public cloud services plan implemented 55% across hyperscalers (AWS, Microsoft Azure implied via OEMs); Teraco as partner for cloud migration [[SITA Annual Report 2024/25](https://www.sita.co.za/sites/default/files/Annual%20Report%202024%20-%202025_0.pdf)]",Yes,Yes,,No (fully domestic ownership and stack),Huawei,"Low (domestic ownership, open source stack, local compliance)",Predominantly open source ,ZAF,South Africa,Construction/Equipment,South African Government,Government of the Republic of South Africa,African with hyperscaler involvement,"Yes, contractual guarantee",Certified / audited compliant,,,,Landlocked/no submarine cable access,No IXP connection,Single carrier / captive,Unknown,Unknown,Unknown,ISO 27001,"-25.8560, 28.2115","1 John Vorster Road; Centurion. SITA established 1999 as government IT SOE. 30Gbps internet breakout. Relocation to Tier 3 ADC facility underway per 2024/2025 RFP.. [SITA Corporate Governance](https://www.sita.co.za/content/corporate-governance), [SITA Annual Report 2024/25](https://www.sita.co.za/sites/default/files/Annual%20Report%202024%20-%202025_0.pdf), [SITA Annual Report 2023/24](https://www.sita.co.za/sites/default/files/Annual%20Report%202023%20-%202024.pdf), [SA History SITA](https://sahistory.org.za/dated-event/state-information-technology-agency-sita-incorporated-private-company-state-sole)",https://www.sita.co.za;https://www.sita.co.za/content/managed-infrastructure; 
UGA-002,NITA-U National Data Centre (Kampala),UGA,Uganda,Kampala,Operational,2015,Government,IaaS; PaaS; SaaS; BaaS; Disaster Recovery; Managed Services; Colocation,Designated national / government data centre,National Information Technology Authority - Uganda (NITA-U),Government / SOE,State-owned parastatal / government agency,Government of Uganda,100% Government of Uganda,100%,,Government of Uganda,Equity,,World Bank UDAP-GovNet ($200M project via NITA-U); UNCDF data portal partnership. No IFC/DFC/BII/AfDB for data centre.,,Actiive (under construction),Multiple government MDAs; Uganda Police; State House; Ministry of Finance; NIRA; 200M+ daily application requests,None identified (operates sovereign data centre; minor training/procurement mentions with Microsoft/Google),Yes,,Yes,No (fully domestic ownership and stack),Huawei,"Low (domestic ownership, open source stack, local compliance)",Unknown,UGA,Uganda,Construction/Equipment,Government of Uganda,Government of Uganda,African with hyperscaler involvement,"Yes, contractual guarantee",Certified / audited compliant,,,,Landlocked/no submarine cable access,IXP connected (not hosted),Limited carriers,Unknown,Unknown,Unknown,On track for Q4 2024 and Q4 2025 international certifications; biometric IRIS access; 24/7 CCTV; fire-rated doors,"0.3332, 32.5994","Primary government/national DC; Palm Courts Plot 7A Rotary Avenue Kampala (HQ coordinates used); 150 Dual KVA modular UPS; N+1 72hr power; Precision AC cooling; 10+ petabytes storage; Tier III claimed but formal certification pending Q4 2024-2025; 3rd national DC planned under UDAP-GovNet World Bank project; NITA-U administers DPPA 2019. [Wikipedia NITA-U](https://en.wikipedia.org/wiki/National_Information_Technology_Authority-Uganda), [NITA-U Site](https://www.nita.go.ug), [AidData China Loans](https://china.aiddata.org/projects/53401/), [World Bank UDAP](https://documents1.worldbank.org/curated/en/099062725151016340/pdf/P171305-a853c0a8-853d-4074-a43a-72d44d653ff3.pdf), [AllAfrica Data Centres](https://allafrica.com/stories/202602240674.html)",https://www.nita.go.ug/services/technical-services/nita-u-national-data-centre; https://en.wikipedia.org/wiki/National_Information_Technology_Authority-Uganda; http://nita-u.com; 
UGA-003,NITA-U Jinja Data Centre,UGA,Uganda,Jinja,Operational,2019,Government,Government disaster recovery; cloud hosting; government data services,Designated national / government data centre,National Information Technology Authority - Uganda (NITA-U),Government / SOE,State-owned parastatal / government agency,Government of Uganda,100% Government of Uganda,100%,,Government of Uganda,Equity,,World Bank UDAP-GovNet ($200M project via NITA-U); UNCDF data portal partnership. No IFC/DFC/BII/AfDB for data centre.,12000000,No plans,Government of Uganda MDAs,None identified (operates sovereign data centre; minor training/procurement mentions with Microsoft/Google),Yes,,Yes,No (fully domestic ownership and stack),Huawei,"Low (domestic ownership, open source stack, local compliance)",Unknown,UGA,Uganda,Construction/Equipment,Government of Uganda,Government of Uganda,African with hyperscaler involvement,Partial (some data classes),Certified / audited compliant,,,,Landlocked/no submarine cable access,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"0.4244, 33.2041","Launched July 2019 by President Museveni; UGX 43bn (~USD 12M) investment; government disaster recovery and backup site for Kampala NDC; DCByte records Tier 3; Broadband Blueprint 2022 references NITA-U DC Kampala + backup Jinja; Tier III claim questioned by some analysts; GPS is Jinja city centre proxy. [Wikipedia NITA-U](https://en.wikipedia.org/wiki/National_Information_Technology_Authority-Uganda), [NITA-U Site](https://www.nita.go.ug), [AidData China Loans](https://china.aiddata.org/projects/53401/), [World Bank UDAP](https://documents1.worldbank.org/curated/en/099062725151016340/pdf/P171305-a853c0a8-853d-4074-a43a-72d44d653ff3.pdf), [AllAfrica Data Centres](https://allafrica.com/stories/202602240674.html)",https://allafrica.com/stories/201907110784.html; https://www.dcbyte.com/facility/jinja-data-centre/; https://kcl.co.ug/wp-content/uploads/2022/10/Uganda-National-Broadband-Baseline-Survey-Infrastructure-Blueprint-_-April-2022-compressed.pdf; 
